# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
2.4182e-01,7.8030e-03,0.0000e+00,2.1201e-31,2.1201e-31,2.1201e-31,2.1201e-31,2.1201e-31,2.1201e-31
2.4518e-01,7.8030e-03,0.0000e+00,2.6863e-31,2.6863e-31,2.6863e-31,2.6863e-31,2.6863e-31,2.6863e-31
2.4860e-01,7.8030e-03,0.0000e+00,1.0892e-31,1.0892e-31,1.0892e-31,1.0892e-31,1.0892e-31,1.0892e-31
2.5206e-01,7.8030e-03,0.0000e+00,1.6561e-31,1.6561e-31,1.6561e-31,1.6561e-31,1.6561e-31,1.6561e-31
2.5557e-01,7.8030e-03,0.0000e+00,4.4764e-31,4.4764e-31,4.4764e-31,4.4764e-31,4.4764e-31,4.4764e-31
2.5913e-01,7.8030e-03,0.0000e+00,2.2688e-31,2.2688e-31,2.2688e-31,2.2688e-31,2.2688e-31,2.2688e-31
2.6274e-01,7.8030e-03,0.0000e+00,2.8747e-31,2.8747e-31,2.8747e-31,2.8747e-31,2.8747e-31,2.8747e-31
2.6639e-01,7.8030e-03,0.0000e+00,1.7484e-31,1.7484e-31,1.7484e-31,1.7484e-31,1.7484e-31,1.7484e-31
2.7010e-01,7.8030e-03,0.0000e+00,2.3630e-31,2.3630e-31,2.3630e-31,2.3630e-31,2.3630e-31,2.3630e-31
2.7387e-01,7.8030e-03,0.0000e+00,2.9942e-31,2.9942e-31,2.9942e-31,2.9942e-31,2.9942e-31,2.9942e-31
2.7768e-01,7.8030e-03,0.0000e+00,2.4281e-31,2.4281e-31,2.4281e-31,2.4281e-31,2.4281e-31,2.4281e-31
2.8155e-01,7.8030e-03,0.0000e+00,2.4613e-31,2.4613e-31,2.4613e-31,2.4613e-31,2.4613e-31,2.4613e-31
